time,open,high,low,close,MA,Volume,Volume MA,Basis,Upper,Lower,RSI
1537135200,6470,6525,6165,6230,6867.4,2337,2840.95,6599.5,7236.578488100171,5962.421511899829,41.43777671695959
1537221600,6210,6370,6180,6275,6859,1108,2777.3,6591.75,7240.551009555318,5942.948990444682,42.556818649008214
1537308000,6305,6535,6035,6375,6859.4,3037,2763.2,6589.25,7240.980580838432,5937.519419161568,45.06882018627171
1537394400,6365,6435,6310,6400,6860.8,1373,2562.9,6589,7241.016870947371,5936.983129052629,45.708027490695386
1537480800,6470,6775,6455,6740,6872.4,3627,2566.55,6605.75,7255.205733672435,5956.294266327565,53.61365810994736
1537740000,6665,6720,6555,6610,6881.3,2081,2537.8,6605.5,7254.945147799258,5956.054852200742,50.58090792835136
1537826400,6605,6605,6315,6355,6874.9,3388,2587.3,6586.75,7242.358686641658,5931.141313358342,45.18197514353528
1537912800,6375,6525,6365,6475,6858.3,640,2358.3,6556,7170.724328459513,5941.275671540487,47.99511417335002
1537999200,6435,6735,6420,6645,6843.3,648,2348.05,6538.5,7121.338742706763,5955.661257293237,51.771077202646616
1538085600,6700,6805,6520,6670,6827.7,4965,2558.7,6531.75,7105.137085658545,5958.362914341455,52.31935602241514
1538344800,6560,6625,6455,6540,6811.7,1477,2632.55,6506.5,7029.521032081885,5983.478967918115,49.18794135922367
1538431200,6550,6585,6435,6510,6787.2,1131,2423.85,6464.5,6816.918784970381,6112.081215029619,48.467021305390816
1538517600,6510,6520,6345,6425,6750.5,1356,2262.4,6440.75,6731.133797757382,6150.366202242618,46.392313939364165
1538604000,6415,6610,6405,6555,6718.9,1697,2057.45,6447,6741.540319820564,6152.459680179436,49.92299111212729
1538690400,6530,6580,6500,6530,6684.4,928,1980.1,6454,6749.44204169346,6158.55795830654,49.25120785823372
1538949600,6530,6675,6515,6630,6653,1783,1972.45,6472.25,6763.805740811255,6180.694259188745,52.03173573829601
1539036000,6620,6620,6535,6580,6622.6,1004,1929.8,6489.75,6762.449009899193,6217.050990100807,50.54066854800544
1539122400,6580,6590,6450,6540,6598.8,1700,1935.75,6502.25,6759.669404862959,6244.830595137041,49.32293442145189
1539208800,6515,6535,6030,6180,6571.5,4268,2031.65,6489.5,6781.867918896722,6197.132081103278,39.985262011156756
1539295200,6180,6225,6095,6185,6544.7,1908,2022.8,6472.5,6792.835761350493,6152.164238649507,40.15472380123221
1539554400,6165,6770,6110,6390,6525.1,6704,2241.15,6480.5,6783.747423731843,6177.252576268157,46.788868087068444
1539640800,6390,6495,6380,6420,6515.1,1604,2265.95,6487.75,6777.63747817041,6197.86252182959,47.702534698466884
1539727200,6445,6480,6400,6420,6503.7,1189,2173.55,6490,6777.036583034289,6202.963416965711,47.702534698466884
1539813600,6430,6480,6330,6390,6504.9,2759,2242.85,6489.5,6777.196020132361,6201.803979867639,46.77114248573232
1539900000,6375,6405,6340,6380,6503.3,1108,2116.9,6471.5,6738.559918370391,6204.440081629609,46.44560634392715
1540159200,6415,6445,6360,6395,6503.4,1752,2100.45,6460.75,6721.887415932685,6199.612584067315,47.04104439930881
1540245600,6400,6425,6350,6395,6506.7,1492,2005.65,6462.75,6721.216148653939,6204.283851346061,47.04104439930881
1540332000,6375,6465,6365,6415,6513.5,814,2014.35,6459.75,6718.9695015811885,6200.5304984188115,47.93617348401346
1540418400,6410,6410,6320,6405,6514.1,1331,2048.5,6447.75,6693.422037480866,6202.077962519134,47.50382935628223
1540504800,6395,6460,6370,6390,6513.8,2434,1921.95,6433.75,6658.157553348812,6209.342446651188,46.82166504092579
1540764000,6390,6440,6185,6240,6509,3904,2043.3,6418.75,6652.649016671725,6184.850983328275,40.55058699470855
1540850400,6245,6290,6230,6245,6505.3,1992,2086.35,6405.5,6647.117466256063,6163.882533743937,40.83504836290027
1540936800,6255,6340,6170,6295,6502.7,3161,2176.6,6399,6645.121921006643,6152.878078993357,43.73441568927852
1541023200,6295,6335,6290,6315,6500.9,1174,2150.45,6387,6624.78982316323,6149.21017683677,44.897614113368235
1541109600,6335,6375,6320,6345,6499.7,1647,2186.4,6377.75,6606.801850025273,6148.698149974727,46.67831422329121
1541372400,6400,6450,6365,6390,6495.2,2336,2214.05,6365.75,6563.721588870727,6167.778411129273,49.32377067565186
1541458800,6395,6475,6385,6415,6488.9,3048,2316.25,6357.5,6531.353386507137,6183.646613492863,50.78463418618161
1541545200,6430,6545,6430,6510,6477.3,4263,2444.4,6356,6523.9464200273405,6188.0535799726595,55.9779409916162
1541631600,6510,6525,6370,6410,6465.6,4418,2451.9,6367.5,6516.042923089591,6218.957076910409,49.99726114067679
1541718000,6400,6415,6240,6335,6456.2,2878,2500.4,6375,6499.056438768812,6250.943561231188,46.025542308007836
1541977200,6290,6395,6290,6325,6441.8,1997,2265.05,6371.75,6497.458989336483,6246.041010663517,45.50646883058669
1542063600,6315,6325,6225,6285,6420.5,2534,2311.55,6365,6494.0736224021,6235.9263775979,43.39810588852783
1542150000,6290,6290,5230,5365,6389.8,8940,2699.1,6312.25,6764.93614955618,5859.56385044382,20.207866772129222
1542236400,5510,5590,5155,5425,6369.7,8633,2992.8,6264,6857.166081295955,5670.833918704045,23.09416914508806
1542322800,5435,5550,5385,5450,6350.9,3416,3108.2,6217.5,6905.268129532039,5529.731870467961,24.32251839022743
1542582000,5500,5515,4560,4835,6322.3,11321,3586.65,6139.5,7047.601866532605,5231.398133467395,17.090761722890832
1542668400,4740,4870,4015,4240,6282.5,12827,4153.4,6031.75,7251.082911882559,4812.417088117441,13.048514509127557
1542754800,4230,4620,4165,4390,6244.5,6540,4439.7,5930.5,7328.877273842792,4532.122726157208,18.29500665068835
1542927600,4370,4375,4085,4190,6199.6,5146,4630.45,5819.75,7390.493374966134,4249.006625033866,16.83631813360573
1543186800,3965,4055,3515,3605,6141.2,8901,4953.8,5680.5,7498.6471337600815,3862.3528662399185,13.456628565030911
1543273200,3635,3790,3550,3720,6091,6129,5065.05,5554.5,7541.522647077783,3567.477352922217,16.98452168981784
1543359600,3775,4345,3770,4285,6051.2,1334,5032.15,5456.5,7490.415189972286,3422.584810027714,31.71291784709453
1543446000,4165,4365,4060,4175,6007.2,1123,4930.25,5350.5,7419.243338357855,3281.7566616421454,30.575553447870902
1543532400,4205,4265,3835,3930,5957.8,5068,5124.95,5231.25,7338.458758049377,3124.0412419506224,28.15365312158707
1543791600,4090,4130,3690,3800,5899,3383,5211.75,5104,7234.062440399342,2973.937559600658,26.93451462859808
